Locus_tag	Orig_Location	Orig_Num_Transcripts	Contig:start-end	Strand	Gene_Length	Num_Transcripts	mRNA_AED	CDS_AED	Description
I1I15_004673	contig2:5255190-5259114	1	contig2:5254268-5259114	-	4846	1	0.102	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004674	contig2:5259165-5260206	1	contig2:5258597-5260473	-	1876	1	0.234	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004675	contig2:5262072-5263072	1	contig2:5262072-5263072	-	1000	1	0.000	0.000	no change
I1I15_004676	contig2:5263366-5265651	1	contig2:5263366-5265651	-	2285	1	0.000	0.000	no change
I1I15_004677	contig2:5267535-5270257	1	contig2:5267535-5270257	+	2722	1	0.000	0.000	no change
I1I15_004678	contig2:5271681-5273360	1	contig2:5271681-5273360	-	1679	1	0.000	0.000	no change
I1I15_004679	contig2:5274767-5276770	1	contig2:5274767-5276770	+	2003	1	0.000	0.000	no change
I1I15_004680	contig2:5277445-5278649	1	contig2:5277445-5278649	+	1204	1	0.000	0.000	no change
I1I15_004681	contig2:5280006-5280792	1	contig2:5280006-5280792	+	786	1	0.000	0.000	no change
I1I15_004682	contig2:5281474-5284089	1	contig2:5281474-5284089	-	2615	1	0.000	0.000	no change
I1I15_004683	contig2:5285236-5286625	1	contig2:5285236-5286625	-	1389	1	0.000	0.000	no change
I1I15_004684	contig2:5287507-5288195	1	contig2:5287507-5288195	-	688	1	0.000	0.000	no change
I1I15_004685	contig2:5288289-5289071	1	contig2:5288289-5289071	-	782	1	0.000	0.000	no change
I1I15_004686	contig2:5292169-5295126	1	contig2:5290939-5297305	+	6366	1	0.240	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004687	contig2:5296346-5297160	1	contig2:5296346-5297160	-	814	1	0.000	0.000	no change
I1I15_004688	contig2:5297513-5298667	1	contig2:5297371-5298729	+	1358	1	0.075	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004689	contig2:5303453-5304610	1	contig2:5303453-5304610	-	1157	1	0.000	0.000	no change
I1I15_004690	contig2:5305366-5305944	1	contig2:5305366-5305944	+	578	1	0.000	0.000	no change
I1I15_004691	contig2:5306157-5307779	1	contig2:5306157-5307779	-	1622	1	0.000	0.000	no change
I1I15_004692	contig2:5310924-5312862	1	contig2:5310924-5312862	+	1938	1	0.000	0.000	no change
I1I15_004693	contig2:5314033-5317154	1	contig2:5314033-5317154	+	3121	1	0.000	0.000	no change
I1I15_004694	contig2:5317865-5317948	1	contig2:5317865-5317948	+	83	1	0.000	0.000	no change
I1I15_004695	contig2:5318651-5319916	1	contig2:5318651-5319916	+	1265	1	0.000	0.000	no change
I1I15_004696	contig2:5320469-5321550	1	contig2:5320469-5321550	+	1081	1	0.000	0.000	no change
I1I15_004697	contig2:5323401-5324150	1	contig2:5323401-5324150	+	749	1	0.000	0.000	no change
I1I15_004698	contig2:5324926-5325105	1	contig2:5324926-5325105	+	179	1	0.000	0.000	no change
I1I15_004699	contig2:5326673-5328230	1	contig2:5326673-5328230	+	1557	1	0.000	0.000	no change
I1I15_004700	contig2:5330740-5333153	1	contig2:5330740-5333153	+	2413	1	0.000	0.000	no change
I1I15_004701	contig2:5334317-5336083	1	contig2:5334317-5336083	-	1766	1	0.000	0.000	no change
I1I15_004702	contig2:5336403-5337773	1	contig2:5336403-5337773	-	1370	1	0.000	0.000	no change
I1I15_004703	contig2:5337980-5342127	1	contig2:5337980-5342127	+	4147	1	0.000	0.000	no change
I1I15_004704	contig2:5342849-5343703	1	contig2:5342849-5343703	-	854	1	0.000	0.000	no change
I1I15_004705	contig2:5347528-5350130	1	contig2:5347528-5350130	-	2602	1	0.000	0.000	no change
I1I15_004706	contig2:5357277-5359978	1	contig2:5357277-5359978	-	2701	1	0.000	0.000	no change
I1I15_004707	contig2:5362830-5364009	1	contig2:5362830-5364009	+	1179	1	0.000	0.000	no change
I1I15_004708	contig2:5365420-5367921	1	contig2:5365420-5367921	-	2501	1	0.000	0.000	no change
I1I15_004709	contig2:5368120-5368984	1	contig2:5368120-5368984	+	864	1	0.000	0.000	no change
I1I15_004710	contig2:5369430-5370827	1	contig2:5369430-5370827	+	1397	1	0.000	0.000	no change
I1I15_004711	contig2:5371110-5372909	1	contig2:5371110-5372909	-	1799	1	0.000	0.000	no change
I1I15_004712	contig2:5373376-5375490	1	contig2:5373376-5375490	-	2114	1	0.000	0.000	no change
I1I15_004713	contig2:5375756-5377498	1	contig2:5375756-5377498	-	1742	1	0.000	0.000	no change
I1I15_004714	contig2:5377820-5380390	1	contig2:5377619-5380630	+	3011	3	0.026	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004715	contig2:5382260-5383298	1	contig2:5382260-5383298	-	1038	1	0.000	0.000	no change
I1I15_004716	contig2:5383631-5384005	1	contig2:5383631-5384005	-	374	1	0.000	0.000	no change
I1I15_004717	contig2:5386358-5386744	1	contig2:5386358-5386744	+	386	1	0.000	0.000	no change
I1I15_004718	contig2:5386857-5387792	1	contig2:5386857-5387792	+	935	1	0.000	0.000	no change
I1I15_004719	contig2:5388041-5389018	1	contig2:5388041-5389018	-	977	1	0.000	0.000	no change
I1I15_004720	contig2:5390594-5391628	1	contig2:5390594-5391628	-	1034	1	0.000	0.000	no change
I1I15_004721	contig2:5392769-5393923	1	contig2:5392769-5394026	+	1257	1	0.048	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004722	contig2:5394104-5394415	1	contig2:5394104-5394415	+	311	1	0.000	0.000	no change
I1I15_004723	contig2:5395815-5396579	1	contig2:5395815-5396579	-	764	1	0.000	0.000	no change
I1I15_004724	contig2:5399900-5400769	1	contig2:5399900-5400769	-	869	1	0.000	0.000	no change
I1I15_004725	contig2:5407244-5410237	1	contig2:5407244-5410237	+	2993	1	0.000	0.000	no change
I1I15_004726	contig2:5410998-5412664	1	contig2:5410998-5412664	-	1666	1	0.000	0.000	no change
I1I15_004727	contig2:5414124-5415648	1	contig2:5414124-5415648	+	1524	1	0.000	0.000	no change
I1I15_004728	contig2:5415983-5417227	1	contig2:5415983-5417227	+	1244	1	0.000	0.000	no change
I1I15_004729	contig2:5419209-5420682	1	contig2:5419209-5420682	+	1473	1	0.000	0.000	no change
I1I15_004730	contig2:5422114-5422877	1	contig2:5422114-5422877	-	763	1	0.000	0.000	no change
I1I15_004731	contig2:5423483-5427224	1	contig2:5423483-5427224	+	3741	1	0.000	0.000	no change
I1I15_004732	contig2:5429161-5432553	1	contig2:5429161-5432553	-	3392	1	0.000	0.000	no change
I1I15_004733	contig2:5433217-5434293	1	contig2:5433217-5434293	+	1076	1	0.000	0.000	no change
I1I15_004734	contig2:5435690-5439390	1	contig2:5435529-5439390	-	3861	1	0.023	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004735	contig2:5440890-5442914	1	contig2:5440890-5442914	+	2024	1	0.000	0.000	no change
I1I15_004736	contig2:5443171-5443713	1	contig2:5443171-5443713	+	542	1	0.000	0.000	no change
I1I15_004737	contig2:5443919-5445226	1	contig2:5443919-5445226	-	1307	1	0.000	0.000	no change
I1I15_004738	contig2:5446002-5446202	1	contig2:5446002-5446202	+	200	1	0.000	0.000	no change
I1I15_004739	contig2:5446620-5447387	1	contig2:5446620-5447387	+	767	1	0.000	0.000	no change
I1I15_004740	contig2:5450414-5452328	1	contig2:5450414-5452328	-	1914	1	0.000	0.000	no change
I1I15_004741	contig2:5457071-5458837	1	contig2:5457071-5458837	+	1766	1	0.000	0.000	no change
I1I15_004742	contig2:5460645-5461143	1	contig2:5460645-5461143	+	498	1	0.000	0.000	no change
I1I15_004743	contig2:5461172-5461861	1	contig2:5461172-5461861	+	689	1	0.000	0.000	no change
I1I15_004744	contig2:5461983-5463539	1	contig2:5461983-5463539	-	1556	1	0.000	0.000	no change
I1I15_004745	contig2:5464095-5466397	1	contig2:5464095-5466397	-	2302	1	0.000	0.000	no change
I1I15_004746	contig2:5468254-5471109	1	contig2:5468254-5471109	+	2855	1	0.000	0.000	no change
I1I15_004747	contig2:5471600-5472986	1	contig2:5471600-5472986	-	1386	1	0.000	0.000	no change
I1I15_004748	contig2:5473248-5474504	1	contig2:5473021-5474539	+	1518	1	0.086	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004749	contig2:5474877-5477403	1	contig2:5474877-5477403	+	2526	1	0.000	0.000	no change
I1I15_004750	contig2:5477539-5479648	1	contig2:5477539-5480425	-	2886	1	0.141	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_004751	contig2:5498648-5499395	1	contig2:5498648-5499395	-	747	1	0.000	0.000	no change
I1I15_004752	contig2:5531063-5533075	1	contig2:5531063-5533075	-	2012	1	0.000	0.000	no change
I1I15_004753	contig2:5534218-5534712	1	contig2:5534218-5534712	+	494	1	0.000	0.000	no change
I1I15_004754	contig2:5537434-5538737	1	contig2:5537434-5538737	-	1303	1	0.000	0.000	no change
I1I15_004755	contig2:5539858-5541188	1	contig2:5539785-5542561	+	2776	1	0.266	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004756	contig2:5541484-5544354	1	contig2:5541484-5544354	-	2870	1	0.000	0.000	no change
I1I15_004757	contig2:5548915-5550620	1	contig2:5548915-5550620	+	1705	1	0.000	0.000	no change
I1I15_004758	contig2:5551339-5552973	1	contig2:5551339-5552973	+	1634	1	0.000	0.000	no change
I1I15_004759	contig2:5556055-5557657	1	contig2:5555627-5557814	+	2187	3	0.024	0.012	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 88%, 70%, 93%]
I1I15_004760	contig2:5557912-5559631	1	contig2:5557912-5559631	-	1719	1	0.000	0.000	no change
I1I15_004761	contig2:5559975-5561306	1	contig2:5559975-5561306	-	1331	1	0.000	0.000	no change
I1I15_004762	contig2:5561646-5561957	1	contig2:5561646-5561957	-	311	1	0.000	0.000	no change
I1I15_004763	contig2:5563193-5568724	1	contig2:5563193-5568724	-	5531	1	0.000	0.000	no change
I1I15_004764	contig2:5569181-5570088	1	contig2:5568814-5570088	-	1274	1	0.171	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004765	contig2:5572017-5573198	1	contig2:5572017-5573198	+	1181	1	0.000	0.000	no change
I1I15_004766	contig2:5573942-5575500	1	contig2:5573942-5575500	-	1558	1	0.000	0.000	no change
I1I15_004767	contig2:5577489-5579906	1	contig2:5577489-5579906	+	2417	1	0.000	0.000	no change
I1I15_004768	contig2:5582425-5583041	1	contig2:5582425-5583041	+	616	1	0.000	0.000	no change
I1I15_004769	contig2:5583192-5583875	1	contig2:5583192-5583875	+	683	1	0.000	0.000	no change
I1I15_004770	contig2:5586764-5587625	1	contig2:5586764-5587625	+	861	1	0.000	0.000	no change
I1I15_004771	contig2:5588359-5589400	1	contig2:5588359-5589400	-	1041	1	0.000	0.000	no change
I1I15_004772	contig2:5591122-5592221	1	contig2:5590770-5592396	+	1626	1	0.168	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004773	contig2:5594365-5595087	1	contig2:5594365-5595087	-	722	1	0.000	0.000	no change
I1I15_004774	contig2:5597220-5598361	1	contig2:5597220-5598361	+	1141	1	0.000	0.000	no change
I1I15_004775	contig2:5598627-5599855	1	contig2:5598627-5599855	+	1228	1	0.000	0.000	no change
I1I15_004776	contig2:5602613-5603290	1	contig2:5602613-5603290	+	677	1	0.000	0.000	no change
I1I15_004777	contig2:5603425-5604893	1	contig2:5603425-5604893	-	1468	1	0.000	0.000	no change
I1I15_004778	contig2:5605239-5606828	1	contig2:5605239-5606851	-	1612	1	0.009	0.001	gene coordinates updated;5prime UTR added;mRNA updated;CDS update [translation pident: 100%]
I1I15_004779	contig2:5607356-5608300	1	contig2:5607116-5608345	+	1229	1	0.116	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004780	contig2:5608580-5609500	1	contig2:5608580-5609500	-	920	1	0.000	0.000	no change
I1I15_004781	contig2:5611764-5614625	1	contig2:5611764-5614714	-	2950	1	0.015	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_004782	contig2:5615880-5617281	1	contig2:5615880-5617281	+	1401	1	0.000	0.000	no change
I1I15_004783	contig2:5618205-5619158	1	contig2:5618205-5619158	+	953	1	0.000	0.000	no change
I1I15_004784	contig2:5620186-5621905	1	contig2:5620186-5621905	+	1719	1	0.000	0.000	no change
I1I15_004785	contig2:5622384-5622888	1	contig2:5622384-5622888	-	504	1	0.000	0.000	no change
I1I15_004786	contig2:5625028-5626359	1	contig2:5625028-5626359	+	1331	1	0.000	0.000	no change
I1I15_004787	contig2:5626838-5628529	1	contig2:5626813-5628758	+	1945	1	0.065	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004788	contig2:5630013-5630678	1	contig2:5629977-5631385	+	1408	1	0.264	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004789	contig2:5631529-5631837	1	contig2:5631529-5631837	+	308	1	0.000	0.000	no change
I1I15_004790	contig2:5633680-5634741	1	contig2:5633680-5634741	+	1061	1	0.000	0.000	no change
I1I15_004791	contig2:5635754-5637521	1	contig2:5635754-5637521	+	1767	1	0.000	0.000	no change
I1I15_004792	contig2:5639353-5641013	1	contig2:5639353-5641013	+	1660	1	0.000	0.000	no change
I1I15_004793	contig2:5641525-5642558	1	contig2:5641525-5642558	+	1033	1	0.000	0.000	no change
I1I15_004794	contig2:5643052-5645102	1	contig2:5642828-5645227	-	2399	1	0.079	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004795	contig2:5645634-5647724	1	contig2:5645634-5647724	-	2090	1	0.000	0.000	no change
I1I15_004796	contig2:5652661-5653746	1	contig2:5652661-5653746	-	1085	1	0.000	0.000	no change
I1I15_004797	contig2:5654803-5656514	1	contig2:5654803-5656514	-	1711	1	0.000	0.000	no change
I1I15_004798	contig2:5657157-5657420	1	contig2:5657157-5657420	-	263	1	0.000	0.000	no change
I1I15_004799	contig2:5657963-5659204	1	contig2:5657963-5659204	-	1241	1	0.000	0.000	no change
I1I15_004800	contig2:5660541-5660723	1	contig2:5660541-5660723	+	182	1	0.000	0.000	no change
I1I15_004801	contig2:5661207-5662338	1	contig2:5661207-5662338	-	1131	1	0.000	0.000	no change
I1I15_004802	contig2:5665610-5667504	1	contig2:5665487-5667691	-	2204	1	0.077	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004803	contig2:5668717-5670397	1	contig2:5668716-5670397	-	1681	1	0.051	0.190	gene coordinates updated;3prime UTR added;mRNA updated;CDS update [translation pident: 77%]
I1I15_004804	contig2:5672046-5673376	1	contig2:5672046-5673376	-	1330	1	0.000	0.000	no change
I1I15_004805	contig2:5673884-5674291	1	contig2:5673884-5674291	-	407	1	0.000	0.000	no change
I1I15_004806	contig2:5674385-5675080	1	contig2:5674385-5675080	-	695	1	0.000	0.000	no change
I1I15_004807	contig2:5675719-5678450	1	contig2:5675553-5678560	-	3007	2	0.025	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004808	contig2:5679101-5679981	1	contig2:5679101-5679981	-	880	1	0.000	0.000	no change
I1I15_004809	contig2:5681671-5684912	1	contig2:5681671-5684912	+	3241	1	0.000	0.000	no change
I1I15_004810	contig2:5687544-5688680	1	contig2:5687544-5688680	+	1136	1	0.000	0.000	no change
I1I15_004811	contig2:5689041-5690600	1	contig2:5689041-5690600	-	1559	1	0.000	0.000	no change
I1I15_004812	contig2:5691888-5692280	1	contig2:5691888-5692280	-	392	1	0.000	0.000	no change
I1I15_004813	contig2:5693006-5694436	1	contig2:5693006-5694436	-	1430	1	0.000	0.000	no change
I1I15_004814	contig2:5696254-5697057	1	contig2:5696254-5697197	-	943	1	0.081	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_004815	contig2:5701693-5702485	1	contig2:5701693-5702485	-	792	1	0.000	0.000	no change
I1I15_004816	contig2:5705447-5707766	1	contig2:5705447-5707766	-	2319	1	0.000	0.000	no change
I1I15_004817	contig2:5708640-5711626	1	contig2:5708640-5711626	+	2986	1	0.000	0.000	no change
I1I15_004818	contig2:5711819-5713039	1	contig2:5711819-5713039	-	1220	1	0.000	0.000	no change
I1I15_004819	contig2:5713553-5715936	1	contig2:5713314-5716001	-	2687	1	0.058	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004820	contig2:5716494-5716958	1	contig2:5716494-5716958	-	464	1	0.000	0.000	no change
I1I15_004821	contig2:5717360-5718142	1	contig2:5717360-5718142	-	782	1	0.000	0.000	no change
I1I15_004822	contig2:5721510-5722712	1	contig2:5721510-5722712	-	1202	1	0.000	0.000	no change
I1I15_004823	contig2:5723890-5724468	1	contig2:5723890-5724468	-	578	1	0.000	0.000	no change
I1I15_004824	contig2:5726935-5728302	1	contig2:5726935-5728302	+	1367	1	0.000	0.000	no change
I1I15_004825	contig2:5730676-5731665	1	contig2:5730676-5731665	-	989	1	0.000	0.000	no change
I1I15_004826	contig2:5732145-5733104	1	contig2:5732145-5733104	-	959	1	0.000	0.000	no change
I1I15_004827	contig2:5733830-5735440	1	contig2:5733830-5735440	-	1610	1	0.000	0.000	no change
I1I15_004828	contig2:5735949-5736529	1	contig2:5735949-5736529	+	580	1	0.000	0.000	no change
I1I15_004829	contig2:5741251-5741583	1	contig2:5741251-5741583	+	332	1	0.000	0.000	no change
I1I15_004830	contig2:5741893-5742861	1	contig2:5741893-5742861	-	968	1	0.000	0.000	no change
I1I15_004831	contig2:5744132-5744587	1	contig2:5744132-5744587	-	455	1	0.000	0.000	no change
I1I15_004832	contig2:5746123-5746644	1	contig2:5746123-5746644	+	521	1	0.000	0.000	no change
I1I15_004833	contig2:5749696-5751132	1	contig2:5749696-5751132	-	1436	1	0.000	0.000	no change
I1I15_004834	contig2:5751423-5752019	1	contig2:5751423-5752019	+	596	1	0.000	0.000	no change
I1I15_004835	contig2:5752613-5753336	1	contig2:5752613-5753336	-	723	1	0.000	0.000	no change
I1I15_004836	contig2:5754024-5754708	1	contig2:5754024-5754708	-	684	1	0.000	0.000	no change
I1I15_004837	contig2:5755786-5756626	1	contig2:5755786-5756626	-	840	1	0.000	0.000	no change
I1I15_004838	contig2:5759973-5761187	1	contig2:5759973-5761187	-	1214	1	0.000	0.000	no change
I1I15_004839	contig2:5761505-5763241	1	contig2:5761357-5763241	+	1884	1	0.039	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_004840	contig2:5765145-5766659	1	contig2:5765145-5766659	+	1514	1	0.000	0.000	no change
I1I15_004841	contig2:5768482-5769812	1	contig2:5768482-5769812	+	1330	1	0.000	0.000	no change
I1I15_004842	contig2:5770711-5772594	1	contig2:5770605-5772767	+	2162	1	0.069	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004843	contig2:5773947-5774600	1	contig2:5773947-5774600	+	653	1	0.000	0.000	no change
I1I15_004844	contig2:5777220-5779073	1	contig2:5777220-5779073	+	1853	1	0.000	0.000	no change
I1I15_004845	contig2:5780026-5780596	1	contig2:5780026-5780596	+	570	1	0.000	0.000	no change
I1I15_004846	contig2:5781972-5783826	1	contig2:5781972-5783826	+	1854	1	0.000	0.000	no change
I1I15_004847	contig2:5784273-5786132	1	contig2:5784273-5786132	+	1859	1	0.000	0.000	no change
I1I15_004848	contig2:5786402-5787466	1	contig2:5786402-5787466	-	1064	1	0.000	0.000	no change
I1I15_004849	contig2:5788238-5789329	1	contig2:5788238-5789329	-	1091	1	0.000	0.000	no change
I1I15_004850	contig2:5789798-5790820	1	contig2:5789798-5790820	+	1022	1	0.000	0.000	no change
I1I15_004851	contig2:5792368-5793233	1	contig2:5792368-5793233	-	865	1	0.000	0.000	no change
I1I15_004852	contig2:5793660-5795472	1	contig2:5793660-5795472	-	1812	1	0.000	0.000	no change
I1I15_004853	contig2:5795660-5798081	1	contig2:5795660-5798081	-	2421	1	0.000	0.000	no change
I1I15_004854	contig2:5798820-5800886	1	contig2:5798820-5801016	-	2196	1	0.032	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_004855	contig2:5801611-5803134	1	contig2:5801384-5803224	+	1840	1	0.086	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004856	contig2:5803362-5805706	1	contig2:5803283-5805761	-	2478	1	0.028	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004857	contig2:5806236-5808096	1	contig2:5806236-5808096	+	1860	1	0.000	0.000	no change
I1I15_004858	contig2:5808291-5809373	1	contig2:5808291-5809373	-	1082	1	0.000	0.000	no change
I1I15_004859	contig2:5809429-5810271	1	contig2:5809429-5810445	-	1016	1	0.091	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_004860	contig2:5810966-5811562	1	contig2:5810964-5811914	+	950	1	0.186	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004861	contig2:5814651-5815079	1	contig2:5814651-5815079	+	428	1	0.000	0.000	no change
I1I15_004862	contig2:5816554-5817539	1	contig2:5816554-5818287	+	1733	1	0.246	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004863	contig2:5818540-5819170	1	contig2:5818540-5819170	-	630	1	0.000	0.000	no change
I1I15_004864	contig2:5821198-5821800	1	contig2:5821198-5821800	-	602	1	0.000	0.000	no change
I1I15_004865	contig2:5824258-5826454	1	contig2:5824052-5826518	-	2466	3	0.019	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004866	contig2:5826771-5827467	1	contig2:5826771-5827467	+	696	1	0.000	0.000	no change
I1I15_004867	contig2:5828646-5830349	1	contig2:5828646-5830349	+	1703	1	0.000	0.000	no change
I1I15_004868	contig2:5835694-5836667	1	contig2:5835694-5836667	-	973	1	0.000	0.000	no change
I1I15_004869	contig2:5837154-5837654	1	contig2:5837154-5837654	+	500	1	0.000	0.000	no change
I1I15_004870	contig2:5837789-5838115	1	contig2:5837789-5838115	+	326	1	0.000	0.000	no change
I1I15_004871	contig2:5840869-5841985	1	contig2:5840869-5841985	-	1116	1	0.000	0.000	no change
I1I15_004872	contig2:5843154-5845091	1	contig2:5843154-5845091	+	1937	1	0.000	0.000	no change
I1I15_004873	contig2:5845417-5848876	1	contig2:5845261-5849088	-	3827	1	0.049	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004874	contig2:5849439-5851889	1	contig2:5849439-5851889	+	2450	1	0.000	0.000	no change
I1I15_004875	contig2:5852172-5854182	1	contig2:5852172-5854182	-	2010	1	0.000	0.000	no change
I1I15_004876	contig2:5855402-5855845	1	contig2:5855402-5855845	-	443	1	0.000	0.000	no change
I1I15_004877	contig2:5855878-5856291	1	contig2:5855878-5856291	-	413	1	0.000	0.000	no change
I1I15_004878	contig2:5856552-5858580	1	contig2:5856552-5858580	-	2028	1	0.000	0.000	no change
I1I15_004879	contig2:5859464-5860891	1	contig2:5858945-5860898	+	1953	1	0.152	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004880	contig2:5861011-5863311	1	contig2:5860929-5863382	-	2453	1	0.031	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004881	contig2:5864716-5865891	1	contig2:5864716-5865891	-	1175	1	0.000	0.000	no change
I1I15_004882	contig2:5868313-5870121	1	contig2:5868184-5870121	-	1937	1	0.036	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004883	contig2:5871228-5872078	1	contig2:5871228-5872078	-	850	1	0.000	0.000	no change
I1I15_004884	contig2:5874539-5875943	1	contig2:5874539-5875943	-	1404	1	0.000	0.000	no change
I1I15_004885	contig2:5877463-5878912	1	contig2:5876182-5879077	-	2895	1	0.255	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004886	contig2:5880391-5880996	1	contig2:5879211-5880996	-	1785	1	0.332	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004887	contig2:5882306-5883193	1	contig2:5882306-5883193	+	887	1	0.000	0.000	no change
I1I15_004888	contig2:5883328-5884507	1	contig2:5883328-5884507	-	1179	1	0.000	0.000	no change
I1I15_004889	contig2:5884891-5886823	1	contig2:5884891-5886823	+	1932	1	0.000	0.000	no change
I1I15_004890	contig2:5887443-5889143	1	contig2:5887443-5889143	+	1700	1	0.000	0.000	no change
I1I15_004891	contig2:5889320-5890572	1	contig2:5889320-5890572	-	1252	1	0.000	0.000	no change
I1I15_004892	contig2:5891173-5892403	1	contig2:5890936-5892622	+	1686	1	0.165	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004893	contig2:5893935-5895407	1	contig2:5893809-5896985	+	3176	1	0.292	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_004894	contig2:5896204-5896787	1	contig2:5896204-5896787	-	583	1	0.000	0.000	no change
I1I15_004895	contig2:5898297-5899517	1	contig2:5898203-5899517	-	1314	1	0.036	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004896	contig2:5900749-5903379	1	contig2:5900442-5903933	+	3491	1	0.138	0.044	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 91%]
I1I15_004897	contig2:5904057-5905403	1	contig2:5904057-5905403	+	1346	1	0.000	0.000	no change
I1I15_004898	contig2:5905610-5906929	1	contig2:5905610-5906929	-	1319	1	0.000	0.000	no change
I1I15_004899	contig2:5908213-5909820	1	contig2:5908213-5909820	+	1607	1	0.000	0.000	no change
I1I15_004900	contig2:5909982-5911180	1	contig2:5909982-5911180	-	1198	1	0.000	0.000	no change
I1I15_004901	contig2:5911661-5912808	1	contig2:5911661-5912808	+	1147	1	0.000	0.000	no change
I1I15_004902	contig2:5913047-5914015	1	contig2:5913047-5914015	-	968	1	0.000	0.000	no change
I1I15_004903	contig2:5915249-5916697	1	contig2:5915249-5916697	+	1448	1	0.000	0.000	no change
I1I15_004904	contig2:5920952-5923113	1	contig2:5920952-5923113	-	2161	1	0.000	0.000	no change
I1I15_004905	contig2:5925604-5927070	1	contig2:5925604-5927070	+	1466	1	0.000	0.000	no change
I1I15_004906	contig2:5929594-5931586	1	contig2:5929594-5931586	+	1992	1	0.000	0.000	no change
I1I15_004907	contig2:5932638-5934242	1	contig2:5932638-5934242	-	1604	1	0.000	0.000	no change
I1I15_004908	contig2:5935772-5936473	1	contig2:5935772-5936473	+	701	1	0.000	0.000	no change
I1I15_004909	contig2:5937318-5937620	1	contig2:5937318-5937620	-	302	1	0.000	0.000	no change
I1I15_004910	contig2:5939988-5941088	1	contig2:5939988-5941088	+	1100	1	0.000	0.000	no change
I1I15_004911	contig2:5941750-5944029	1	contig2:5941300-5944029	-	2729	1	0.082	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_004912	contig2:5944258-5944818	1	contig2:5944258-5944818	+	560	1	0.000	0.000	no change
I1I15_004913	contig2:5945637-5947642	1	contig2:5945637-5947642	+	2005	1	0.000	0.000	no change
I1I15_004914	contig2:5948241-5948423	1	contig2:5948241-5948423	+	182	1	0.000	0.000	no change
I1I15_004915	contig2:5948714-5949737	1	contig2:5948714-5949737	+	1023	1	0.000	0.000	no change
I1I15_004916	contig2:5950202-5953978	1	contig2:5950202-5953978	-	3776	1	0.000	0.000	no change
I1I15_004917	contig2:5954323-5955593	1	contig2:5954323-5955593	+	1270	1	0.000	0.000	no change
I1I15_004918	contig2:5955723-5957824	1	contig2:5955723-5957824	-	2101	1	0.000	0.000	no change
